country,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
AUS,1,3,2,1,1,NOAM,1,1,92
AUS,1,3,3,1,1,NOAM,1,1,263
AUS,1,3,1,2,1,NOAM,1,1,21291
AUS,1,3,2,2,1,NOAM,1,1,977
AUS,1,3,3,2,1,NOAM,1,1,2349
AUS,1,3,99,2,1,NOAM,1,1,41
AUS,1,3,1,3,1,NOAM,1,1,1343
AUS,1,3,2,3,1,NOAM,1,1,97
AUS,1,3,3,3,1,NOAM,1,1,3388
AUS,1,3,99,3,1,NOAM,1,1,20
AUS,1,99,1,1,1,NOAM,1,1,87
AUS,1,99,2,1,1,NOAM,1,1,17
AUS,1,99,3,1,1,NOAM,1,1,123
AUS,1,99,99,1,1,NOAM,1,1,16
AUS,1,99,1,2,1,NOAM,1,1,1405
AUS,1,99,2,2,1,NOAM,1,1,97
AUS,1,99,3,2,1,NOAM,1,1,420
AUS,1,99,99,2,1,NOAM,1,1,85
AUS,1,99,1,3,1,NOAM,1,1,119
AUS,1,99,3,3,1,NOAM,1,1,541
AUS,1,99,99,3,1,NOAM,1,1,45
AUS,2,1,1,1,1,NOAM,1,1,370
AUS,2,1,2,1,1,NOAM,1,1,105
AUS,2,1,3,1,1,NOAM,1,1,837
AUS,2,1,1,2,1,NOAM,1,1,442
AUS,2,1,2,2,1,NOAM,1,1,51
AUS,2,1,3,2,1,NOAM,1,1,392
AUS,2,1,99,2,1,NOAM,1,1,3
AUS,2,1,1,3,1,NOAM,1,1,31
AUS,2,1,3,3,1,NOAM,1,1,461
AUS,2,1,99,3,1,NOAM,1,1,7
AUS,2,2,1,1,1,NOAM,1,1,2192
AUS,2,2,2,1,1,NOAM,1,1,414
AUS,2,2,3,1,1,NOAM,1,1,1477
AUS,2,2,99,1,1,NOAM,1,1,5
AUS,2,2,1,2,1,NOAM,1,1,5942
AUS,2,2,2,2,1,NOAM,1,1,517
AUS,2,2,3,2,1,NOAM,1,1,2886
AUS,2,2,99,2,1,NOAM,1,1,30
AUS,2,2,1,3,1,NOAM,1,1,263
AUS,2,2,2,3,1,NOAM,1,1,7
AUS,2,2,3,3,1,NOAM,1,1,1538
AUS,2,2,99,3,1,NOAM,1,1,11
AUS,2,3,1,1,1,NOAM,1,1,1295
AUS,2,3,2,1,1,NOAM,1,1,145
AUS,2,3,3,1,1,NOAM,1,1,432
AUS,2,3,1,2,1,NOAM,1,1,24974
AUS,2,3,2,2,1,NOAM,1,1,1146
AUS,2,3,3,2,1,NOAM,1,1,6042
AUS,2,3,99,2,1,NOAM,1,1,37
AUS,2,3,1,3,1,NOAM,1,1,977
AUS,2,3,2,3,1,NOAM,1,1,31
AUS,2,3,3,3,1,NOAM,1,1,3197
