coub,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
AGO,1,99,3,3,1,AFRI,0,1,57
AGO,1,99,99,3,1,AFRI,0,1,2
AGO,1,99,99,99,1,AFRI,0,1,145
AGO,2,1,1,1,1,AFRI,0,1,584
AGO,2,1,2,1,1,AFRI,0,1,168
AGO,2,1,3,1,1,AFRI,0,1,1931
AGO,2,1,99,1,1,AFRI,0,1,3
AGO,2,1,1,2,1,AFRI,0,1,19516
AGO,2,1,2,2,1,AFRI,0,1,5129
AGO,2,1,3,2,1,AFRI,0,1,9538
AGO,2,1,99,2,1,AFRI,0,1,1
AGO,2,1,1,3,1,AFRI,0,1,52
AGO,2,1,2,3,1,AFRI,0,1,84
AGO,2,1,3,3,1,AFRI,0,1,10094
AGO,2,1,1,99,1,AFRI,0,1,1148
AGO,2,1,2,99,1,AFRI,0,1,183
AGO,2,1,3,99,1,AFRI,0,1,831
AGO,2,2,1,1,1,AFRI,0,1,1411
AGO,2,2,2,1,1,AFRI,0,1,822
AGO,2,2,3,1,1,AFRI,0,1,1244
AGO,2,2,1,2,1,AFRI,0,1,16652
AGO,2,2,2,2,1,AFRI,0,1,4688
AGO,2,2,3,2,1,AFRI,0,1,5306
AGO,2,2,1,3,1,AFRI,0,1,140
AGO,2,2,3,3,1,AFRI,0,1,1009
AGO,2,2,1,99,1,AFRI,0,1,3030
AGO,2,2,2,99,1,AFRI,0,1,124
AGO,2,2,3,99,1,AFRI,0,1,1525
AGO,2,3,1,1,1,AFRI,0,1,62
AGO,2,3,2,1,1,AFRI,0,1,400
AGO,2,3,3,1,1,AFRI,0,1,598
AGO,2,3,1,2,1,AFRI,0,1,19123
AGO,2,3,2,2,1,AFRI,0,1,2531
AGO,2,3,3,2,1,AFRI,0,1,4460
AGO,2,3,99,2,1,AFRI,0,1,3
AGO,2,3,1,3,1,AFRI,0,1,322
AGO,2,3,2,3,1,AFRI,0,1,3
AGO,2,3,3,3,1,AFRI,0,1,2595
AGO,2,3,1,99,1,AFRI,0,1,2897
AGO,2,3,3,99,1,AFRI,0,1,949
AGO,2,99,1,1,1,AFRI,0,1,10
AGO,2,99,2,1,1,AFRI,0,1,1
AGO,2,99,3,1,1,AFRI,0,1,102
AGO,2,99,99,1,1,AFRI,0,1,1
AGO,2,99,1,2,1,AFRI,0,1,316
AGO,2,99,2,2,1,AFRI,0,1,56
AGO,2,99,3,2,1,AFRI,0,1,383
AGO,2,99,99,2,1,AFRI,0,1,9
AGO,2,99,3,3,1,AFRI,0,1,34
AGO,2,99,99,3,1,AFRI,0,1,5
AGO,2,99,99,99,1,AFRI,0,1,184
AIA,1,1,3,1,1,SCAC,0,1,1
AIA,1,1,1,2,1,SCAC,0,1,1
AIA,1,1,3,2,1,SCAC,0,1,201
AIA,1,1,3,3,1,SCAC,0,1,584
AIA,1,1,1,99,1,SCAC,0,1,221
AIA,1,1,2,99,1,SCAC,0,1,145
AIA,1,1,3,99,1,SCAC,0,1,81
AIA,1,2,3,1,1,SCAC,0,1,4
AIA,1,2,1,2,1,SCAC,0,1,1
AIA,1,2,3,2,1,SCAC,0,1,16
AIA,1,2,2,3,1,SCAC,0,1,1
AIA,1,2,3,3,1,SCAC,0,1,1
AIA,1,2,1,99,1,SCAC,0,1,902
AIA,1,2,2,99,1,SCAC,0,1,83
AIA,1,2,3,99,1,SCAC,0,1,195
AIA,1,3,3,1,1,SCAC,0,1,10
AIA,1,3,1,2,1,SCAC,0,1,10
AIA,1,3,2,2,1,SCAC,0,1,1
AIA,1,3,1,99,1,SCAC,0,1,813
AIA,1,99,3,2,1,SCAC,0,1,4
AIA,1,99,99,2,1,SCAC,0,1,8
AIA,2,1,1,1,1,SCAC,0,1,1
AIA,2,1,3,1,1,SCAC,0,1,1
AIA,2,1,1,2,1,SCAC,0,1,6
AIA,2,1,3,2,1,SCAC,0,1,254
AIA,2,1,1,99,1,SCAC,0,1,158
AIA,2,1,2,99,1,SCAC,0,1,21
AIA,2,1,3,99,1,SCAC,0,1,341
AIA,2,2,3,1,1,SCAC,0,1,1
AIA,2,2,1,2,1,SCAC,0,1,183
AIA,2,2,3,3,1,SCAC,0,1,10
AIA,2,2,1,99,1,SCAC,0,1,541
AIA,2,2,2,99,1,SCAC,0,1,74
AIA,2,2,3,99,1,SCAC,0,1,376
AIA,2,3,1,2,1,SCAC,0,1,6
AIA,2,3,3,3,1,SCAC,0,1,10
AIA,2,3,1,99,1,SCAC,0,1,1128
AIA,2,3,2,99,1,SCAC,0,1,67
AIA,2,3,3,99,1,SCAC,0,1,194
ALB,1,1,1,1,1,EURO,0,1,10452
ALB,1,1,2,1,1,EURO,0,1,5496
ALB,1,1,3,1,1,EURO,0,1,25690
ALB,1,1,99,1,1,EURO,0,1,225
ALB,1,1,1,2,1,EURO,0,1,175331
ALB,1,1,2,2,1,EURO,0,1,35938
ALB,1,1,3,2,1,EURO,0,1,22318
ALB,1,1,99,2,1,EURO,0,1,10
ALB,1,1,1,3,1,EURO,0,1,695
ALB,1,1,2,3,1,EURO,0,1,48
ALB,1,1,3,3,1,EURO,0,1,11393
ALB,1,1,1,1564,1,EURO,0,1,183
ALB,1,1,2,1564,1,EURO,0,1,161
ALB,1,1,3,1564,1,EURO,0,1,428
ALB,1,2,1,1,1,EURO,0,1,12753
ALB,1,2,2,1,1,EURO,0,1,5569
ALB,1,2,3,1,1,EURO,0,1,9013
ALB,1,2,99,1,1,EURO,0,1,1
ALB,1,2,1,2,1,EURO,0,1,128866
ALB,1,2,2,2,1,EURO,0,1,25175
ALB,1,2,3,2,1,EURO,0,1,15625
ALB,1,2,99,2,1,EURO,0,1,15
ALB,1,2,1,3,1,EURO,0,1,784
ALB,1,2,2,3,1,EURO,0,1,219
ALB,1,2,3,3,1,EURO,0,1,7216
ALB,1,2,1,1564,1,EURO,0,1,459
ALB,1,2,2,1564,1,EURO,0,1,130
ALB,1,2,3,1564,1,EURO,0,1,274
ALB,1,3,1,1,1,EURO,0,1,1634
ALB,1,3,2,1,1,EURO,0,1,543
ALB,1,3,3,1,1,EURO,0,1,614
ALB,1,3,1,2,1,EURO,0,1,36933
ALB,1,3,2,2,1,EURO,0,1,4248
ALB,1,3,3,2,1,EURO,0,1,4026
ALB,1,3,99,2,1,EURO,0,1,6
ALB,1,3,1,3,1,EURO,0,1,831
ALB,1,3,2,3,1,EURO,0,1,153
ALB,1,3,3,3,1,EURO,0,1,4051
ALB,1,3,99,3,1,EURO,0,1,3
ALB,1,3,1,1564,1,EURO,0,1,815
ALB,1,3,2,1564,1,EURO,0,1,131
ALB,1,3,3,1564,1,EURO,0,1,16
ALB,1,99,1,1,1,EURO,0,1,58
ALB,1,99,2,1,1,EURO,0,1,1
ALB,1,99,3,1,1,EURO,0,1,319
ALB,1,99,99,1,1,EURO,0,1,11
ALB,1,99,1,2,1,EURO,0,1,1057
ALB,1,99,2,2,1,EURO,0,1,92
ALB,1,99,3,2,1,EURO,0,1,1441
ALB,1,99,99,2,1,EURO,0,1,193
ALB,1,99,3,3,1,EURO,0,1,126
ALB,1,99,99,3,1,EURO,0,1,11
ALB,2,1,1,1,1,EURO,0,1,5082
ALB,2,1,2,1,1,EURO,0,1,3162
ALB,2,1,3,1,1,EURO,0,1,32153
ALB,2,1,99,1,1,EURO,0,1,541
ALB,2,1,1,2,1,EURO,0,1,65672
ALB,2,1,2,2,1,EURO,0,1,21299
ALB,2,1,3,2,1,EURO,0,1,104404
ALB,2,1,99,2,1,EURO,0,1,7
ALB,2,1,1,3,1,EURO,0,1,411
ALB,2,1,2,3,1,EURO,0,1,1
ALB,2,1,3,3,1,EURO,0,1,19756
ALB,2,1,1,1564,1,EURO,0,1,483
ALB,2,1,2,1564,1,EURO,0,1,56
