coub,sex,edu_lfs,dos_lfs,oecd,regionb,oecdb,fborn,number
BEL,2,1,2,1,EURO,1,1,3212
BEL,2,2,2,1,EURO,1,1,6137
BEL,2,3,2,1,EURO,1,1,9509
BEL,2,99,2,1,EURO,1,1,173
BEL,2,1,3,1,EURO,1,1,41622
BEL,2,2,3,1,EURO,1,1,59514
BEL,2,3,3,1,EURO,1,1,71622
BEL,2,99,3,1,EURO,1,1,4733
BEL,2,1,99,1,EURO,1,1,5624
BEL,2,2,99,1,EURO,1,1,4503
BEL,2,3,99,1,EURO,1,1,4889
BEL,2,99,99,1,EURO,1,1,521
BEN,1,1,1,1,AFRI,0,1,611
BEN,1,2,1,1,AFRI,0,1,740
BEN,1,3,1,1,AFRI,0,1,2156
BEN,1,99,1,1,AFRI,0,1,162
BEN,1,1,2,1,AFRI,0,1,296
BEN,1,2,2,1,AFRI,0,1,611
BEN,1,3,2,1,AFRI,0,1,1489
BEN,1,99,2,1,AFRI,0,1,54
BEN,1,1,3,1,AFRI,0,1,1554
BEN,1,2,3,1,AFRI,0,1,2647
BEN,1,3,3,1,AFRI,0,1,5430
BEN,1,99,3,1,AFRI,0,1,22
BEN,1,1,99,1,AFRI,0,1,470
BEN,1,2,99,1,AFRI,0,1,689
BEN,1,3,99,1,AFRI,0,1,1050
BEN,1,99,99,1,AFRI,0,1,70
BEN,2,1,1,1,AFRI,0,1,623
BEN,2,2,1,1,AFRI,0,1,1002
BEN,2,3,1,1,AFRI,0,1,1204
BEN,2,99,1,1,AFRI,0,1,96
BEN,2,1,2,1,AFRI,0,1,465
BEN,2,2,2,1,AFRI,0,1,804
BEN,2,3,2,1,AFRI,0,1,1072
BEN,2,99,2,1,AFRI,0,1,38
BEN,2,1,3,1,AFRI,0,1,1949
BEN,2,2,3,1,AFRI,0,1,2266
BEN,2,3,3,1,AFRI,0,1,3561
BEN,2,99,3,1,AFRI,0,1,12
BEN,2,1,99,1,AFRI,0,1,611
BEN,2,2,99,1,AFRI,0,1,678
BEN,2,3,99,1,AFRI,0,1,943
BEN,2,99,99,1,AFRI,0,1,51
BFA,1,1,1,1,AFRI,0,1,1373
BFA,1,2,1,1,AFRI,0,1,629
BFA,1,3,1,1,AFRI,0,1,1039
BFA,1,99,1,1,AFRI,0,1,136
BFA,1,1,2,1,AFRI,0,1,1382
BFA,1,2,2,1,AFRI,0,1,836
BFA,1,3,2,1,AFRI,0,1,992
BFA,1,99,2,1,AFRI,0,1,47
BFA,1,1,3,1,AFRI,0,1,4580
BFA,1,2,3,1,AFRI,0,1,1563
